# Format version: 1.5
# Report generated by Certitude W-2024.09-1 - 5682288 - 2024
# Report generated at 2026-2-13 14:33:22

# TopName:	work.control_unit

#s Status at 2026-2-13 14:33:22
#s 
#s Fault Model Phase (W-2024.09-1): Started on 2026-02-13 at 13:50:55, completed on 2026-02-13 at 13:51:20
#s Design status:
#s      0 Modules/Entities are not instantiated 
#s      0 Modules/Entities having faults are not instantiated 
#s Optimizer elaboration status : succeeded
#s      0 Modules/Entities elaboration failed
#s      0 Modules/Entities having faults elaboration failed
#s      0 Modules/Entities are undefined (black-boxes)
#s Fault Activation Phase: Started on 2026-02-13 at 13:51:24, completed on 2026-02-13 at 13:52:07
#s Fault Detection Phase: Started on 2026-02-13 at 13:52:10, completed on 2026-02-13 at 14:08:13
#s Metric computation: Not executed
#s Regression Phase: Not executed
#s 
#s Full design status
#s Faults injected in the design:
#s    414 Faults are injected in the design
#s    349 Faults are considered for status
#s      6 Faults are disabled by Certitude
#s      0 Faults are disabled by user
#s      0 Faults are not yet qualified
#s     10 Faults are dropped
#s 
#s      5 Faults are non-activated
#s     10 Faults are non-propagated
#s    318 Faults are detected
#s      0 Faults are non-detected

# Certitude configuration
# Config Type  Configuration Option Name                       Value 
PubConf        IncludePaths                                    input 
PubConf        InstrumentationDirectory                        /homedir04/mmohamed25/DT3_2026/project/workdir/control_unit_certitude_hdl_files 
PubConf        ReportFormat                                    text 
PubConf        Simulator                                       vcs 
PubConf        SimulatorBitWidth                               64 
PubConf        SupportMdaForConnectivityOnNonQualifiedBlocks   true 
PubConf        TopName                                         work.control_unit 
PubConf        VerdiInitCommand                                {debImport -top work.control_unit_tb -path . -simflow} 
PubConf        WaveDump                                        true 

# The following configuration options require model to be run to be effective:
#  Configuration Option Name  Current Value  New Value  


# Testcase statistics
# Test 	 Run 	 Activated 	 # of runs in 	 Propagated 	 Detected 	 Test
#   ID 	 time 	 Faults 	 Detection 	 Faults 	 Faults 	 name
T1 	 00:00:09.18	 337	 327	 318	 318	 1

# File
#	ID	Name
File	1	/homedir04/mmohamed25/DT3_2026/project/workdir/input/control_unit.sv
File	2	/homedir04/mmohamed25/DT3_2026/project/workdir/input/audioport.svh

# Hierarchical Instance Name Identifier
# ID	Hierarchical
# ..	  Instance
# ..	    Name
H1	work.control_unit

# Fault
# ID	Type	Status	E/I	Formal	Line	HINI	Module	File
# ..	....	......	...	.Port.	....	....	.Name.	.ID.
212	Oper	D	-	-	265	H1	control_unit	1
213	DeadA	D	-	-	267	H1	control_unit	1
214	Oper	D	-	-	267	H1	control_unit	1
215	BitF	D	-	-	267	H1	control_unit	1
216	CondF	D	-	-	273	H1	control_unit	1
217	CondT	D	-	-	273	H1	control_unit	1
218	NCond	D	-	-	273	H1	control_unit	1
219	ElseD	D	-	-	282	H1	control_unit	1
220	Oper	D	-	-	273	H1	control_unit	1
221	Oper	D	-	-	273	H1	control_unit	1
222	Oper	D	-	-	273	H1	control_unit	1
223	Oper	D	-	-	273	H1	control_unit	1
224	CondF	D	-	-	274	H1	control_unit	1
225	CondT	D	-	-	274	H1	control_unit	1
226	NCond	D	-	-	274	H1	control_unit	1
227	ElseD	D	-	-	277	H1	control_unit	1
228	Oper	D	-	-	274	H1	control_unit	1
229	DeadA	D	-	-	275	H1	control_unit	1
230	BitF	D	-	-	275	H1	control_unit	1
231	DeadA	D	-	-	276	H1	control_unit	1
232	Oper	D	-	-	276	H1	control_unit	1
233	DeadA	D	-	-	278	H1	control_unit	1
234	Oper	D	-	-	278	H1	control_unit	1
235	BitF	D	-	-	278	H1	control_unit	1
236	CondF	D	-	-	282	H1	control_unit	1
237	CondT	D	-	-	282	H1	control_unit	1
238	NCond	D	-	-	282	H1	control_unit	1
239	Oper	D	-	-	282	H1	control_unit	1
240	Oper	D	-	-	282	H1	control_unit	1
241	Oper	D	-	-	282	H1	control_unit	1
242	CondF	D	-	-	283	H1	control_unit	1
243	CondT	D	-	-	283	H1	control_unit	1
244	NCond	D	-	-	283	H1	control_unit	1
245	ElseD	D	-	-	286	H1	control_unit	1
246	Oper	D	-	-	283	H1	control_unit	1
247	DeadA	D	-	-	284	H1	control_unit	1
248	BitF	D	-	-	284	H1	control_unit	1
249	DeadA	D	-	-	285	H1	control_unit	1
250	Oper	D	-	-	285	H1	control_unit	1
251	DeadA	D	-	-	287	H1	control_unit	1
252	Oper	D	-	-	287	H1	control_unit	1
253	BitF	D	-	-	287	H1	control_unit	1
254	CondF	DBC	-	-	297	H1	control_unit	1
255	CondT	D	I:255	-	297	H1	control_unit	1
256	NCond	DBC	-	-	297	H1	control_unit	1
257	ElseD	DBC	-	-	302	H1	control_unit	1
258	DeadA	DBC	-	-	298	H1	control_unit	1
259	BitF	DBC	-	-	298	H1	control_unit	1
260	DeadA	DBC	-	-	299	H1	control_unit	1
261	BitF	DBC	-	-	299	H1	control_unit	1
262	DeadA	DBC	-	-	300	H1	control_unit	1
263	BitF	DBC	-	-	300	H1	control_unit	1
264	DeadA	DBC	-	-	301	H1	control_unit	1
265	BitF	DBC	-	-	301	H1	control_unit	1
266	DeadA	D	-	-	303	H1	control_unit	1
267	DeadA	D	-	-	304	H1	control_unit	1
268	DeadA	D	-	-	305	H1	control_unit	1
269	DeadA	D	-	-	306	H1	control_unit	1
270	DeadA	D	-	-	317	H1	control_unit	1
271	DeadA	D	-	-	318	H1	control_unit	1
272	DeadA	D	-	-	319	H1	control_unit	1
273	DeadA	D	-	-	320	H1	control_unit	1
274	CondF	D	-	-	323	H1	control_unit	1
275	CondT	DBC	I:347	-	323	H1	control_unit	1
276	NCond	D	-	-	323	H1	control_unit	1
277	ElseD	D	-	-	328	H1	control_unit	1
278	Oper	D	-	-	323	H1	control_unit	1
279	Oper	D	-	-	323	H1	control_unit	1
280	DeadA	NP	-	-	324	H1	control_unit	1
281	BitF	Dro	-	-	324	H1	control_unit	1
282	DeadA	NP	-	-	325	H1	control_unit	1
283	BitF	Dro	-	-	325	H1	control_unit	1
284	DeadA	NP	-	-	326	H1	control_unit	1
285	BitF	Dro	-	-	326	H1	control_unit	1
286	DeadA	NP	-	-	327	H1	control_unit	1
287	BitF	Dro	-	-	327	H1	control_unit	1
288	CondF	D	-	-	330	H1	control_unit	1
289	CondT	D	-	-	330	H1	control_unit	1
290	NCond	D	-	-	330	H1	control_unit	1
291	Oper	D	-	-	330	H1	control_unit	1
292	Oper	D	-	-	330	H1	control_unit	1
293	Oper	D	-	-	330	H1	control_unit	1
294	Oper	D	-	-	330	H1	control_unit	1
295	DeadA	D	-	-	331	H1	control_unit	1
296	CondF	D	-	-	333	H1	control_unit	1
297	CondT	D	-	-	333	H1	control_unit	1
298	NCond	D	-	-	333	H1	control_unit	1
299	ElseD	D	-	-	336	H1	control_unit	1
300	Oper	D	-	-	333	H1	control_unit	1
301	DeadA	D	-	-	334	H1	control_unit	1
302	BitF	D	-	-	334	H1	control_unit	1
303	DeadA	D	-	-	335	H1	control_unit	1
304	Oper	D	-	-	335	H1	control_unit	1
305	DeadA	D	-	-	337	H1	control_unit	1
306	Oper	D	-	-	337	H1	control_unit	1
307	BitF	D	-	-	337	H1	control_unit	1
308	CondF	D	-	-	343	H1	control_unit	1
309	CondT	D	-	-	343	H1	control_unit	1
310	NCond	D	-	-	343	H1	control_unit	1
311	ElseD	D	-	-	352	H1	control_unit	1
312	Oper	D	-	-	343	H1	control_unit	1
313	Oper	D	-	-	343	H1	control_unit	1
314	Oper	D	-	-	343	H1	control_unit	1
315	Oper	D	-	-	343	H1	control_unit	1
316	CondF	D	-	-	344	H1	control_unit	1
317	CondT	D	-	-	344	H1	control_unit	1
318	NCond	D	-	-	344	H1	control_unit	1
319	ElseD	D	-	-	347	H1	control_unit	1
320	Oper	D	-	-	344	H1	control_unit	1
321	DeadA	D	-	-	345	H1	control_unit	1
322	BitF	D	-	-	345	H1	control_unit	1
323	DeadA	D	-	-	346	H1	control_unit	1
324	Oper	D	-	-	346	H1	control_unit	1
325	DeadA	D	-	-	348	H1	control_unit	1
326	Oper	D	-	-	348	H1	control_unit	1
327	BitF	D	-	-	348	H1	control_unit	1
328	CondF	D	-	-	352	H1	control_unit	1
329	CondT	D	-	-	352	H1	control_unit	1
330	NCond	D	-	-	352	H1	control_unit	1
331	Oper	D	-	-	352	H1	control_unit	1
332	Oper	D	-	-	352	H1	control_unit	1
333	Oper	D	-	-	352	H1	control_unit	1
334	CondF	D	-	-	353	H1	control_unit	1
335	CondT	D	-	-	353	H1	control_unit	1
336	NCond	D	-	-	353	H1	control_unit	1
337	ElseD	D	-	-	356	H1	control_unit	1
338	Oper	D	-	-	353	H1	control_unit	1
339	DeadA	D	-	-	354	H1	control_unit	1
340	BitF	D	-	-	354	H1	control_unit	1
341	DeadA	D	-	-	355	H1	control_unit	1
342	Oper	D	-	-	355	H1	control_unit	1
343	DeadA	D	-	-	357	H1	control_unit	1
344	Oper	D	-	-	357	H1	control_unit	1
345	BitF	D	-	-	357	H1	control_unit	1
346	CondF	DBC	-	-	367	H1	control_unit	1
347	CondT	D	I:347	-	367	H1	control_unit	1
348	NCond	DBC	-	-	367	H1	control_unit	1
349	ElseD	DBC	-	-	372	H1	control_unit	1
350	DeadA	DBC	-	-	368	H1	control_unit	1
351	BitF	DBC	-	-	368	H1	control_unit	1
352	DeadA	DBC	-	-	369	H1	control_unit	1
353	BitF	DBC	-	-	369	H1	control_unit	1
354	DeadA	DBC	-	-	370	H1	control_unit	1
355	BitF	DBC	-	-	370	H1	control_unit	1
356	DeadA	DBC	-	-	371	H1	control_unit	1
357	BitF	DBC	-	-	371	H1	control_unit	1
358	DeadA	D	-	-	373	H1	control_unit	1
